"address","name","symbol","decimals"
"0x2956356cd2a2bf3202f771f50d3d14a367b48070","Wrapped Ether (deprecated)","WETHD",18
"0xc66ea802717bfb9833400264dd12c2bceaa34a6d","MakerDAO (Deprecated)","MKRD",18
"0x82BD526bDB718C6d4DD2291Ed013A5186cAE2DCa","dutyof.care Token","VDOC",18
"0xd26114cd6EE289AccF82350c8d8487fedB8A0C07","OmiseGO","OMG",18
"0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC","Storj","STORJ",8
"0x0F5D2fB29fb7d3CFeE444a200298f468908cC942","Decentraland","MANA",18
"0x0F513fFb4926ff82D7F60A05069047AcA295C413","CrowdstartCoin","XSC",18
"0x2604FA406Be957E542BEb89E6754fCdE6815e83f","Playkey Token","PKT",18
"0xE41d2489571d322189246DaFA5ebDe1F4699F498","0x","ZRX",18
"0x1a7a8BD9106F2B8D977E08582DC7d24c723ab0DB","AppCoins","APPC",18
"0x4F4f0Db4de903B88f2B1a2847971E231D54F8fd3","Geens Platform Token","GEE",8
"0xBEB9eF514a379B997e0798FDcC901Ee474B6D9A1","Melon","MLN",18
"0xba2184520A1cC49a6159c57e61E1844E085615B6","HelloGold Token","HGT",8
"0xeAb43193CF0623073Ca89DB9B712796356FA7414","GOLDX","GOLDX",18
"0x8727c112C712c4a03371AC87a74dD6aB104Af768","Jetcoin Institute Token","JET",18
"0xf8e386EDa857484f5a12e4B5DAa9984E06E73705","Indorse Token","IND",18
"0xC596bD09d652827b0106292D3e378D5938df4B12","Teleport Token","TPT",18
"0xA54ddC7B3CcE7FC8b1E3Fa0256D0DB80D2c10970","NEVERDIE Coin","NDC",18
"0x1c4481750daa5Ff521A2a7490d9981eD46465Dbd","BlockMason Credit Protocol Token","BCPT",18
"0xA4e8C3Ec456107eA67d3075bF9e3DF3A75823DB0","Loom Network Token","LOOM",18
"0x86Fa049857E0209aa7D9e616F7eb3b3B78ECfdb0","EOS","EOS",18
"0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","Bancor Network Token","BNT",18
"0xfa05A73FfE78ef8f1a739473e462c54bae6567D9","Lunyr Token","LUN",18
"0x5b26C5D0772E5bbaC8b3182AE9a13f9BB2D03765","EDU Token","EDU",8
"0x6531f133e6DeeBe7F2dcE5A0441aA7ef330B4e53","Chronobank TIME","TIME",8
"0xE7775A6e9Bcf904eb39DA2b68c5efb4F9360e08C","Token-as-a-Service","TAAS",6
"0xaAAf91D9b90dF800Df4F55c205fd6989c977E73a","Monolith TKN","TKN",8
"0xf7B098298f7C69Fc14610bf71d5e02c60792894C","Guppy","GUP",3
"0x4DF812F6064def1e5e029f1ca858777CC98D2D81","Xaurum","XAUR",8
"0xB9e7F8568e08d5659f5D29C4997173d84CdF2607","Swarm City Token","SWT",18
"0xCb94be6f13A1182E4A4B6140cb7bf2025d28e41B","Trustcoin","TRST",6
"0x960b236A07cf122663c4303350609A66A7B288C0","Aragon Network Token","ANT",18
"0x667088b212ce3d06a1b553a7221E1fD19000d9aF","WINGS","WINGS",18
"0xAf30D2a7E90d7DC361c8C4585e9BB7D2F6f15bc7","FirstBlood Token","1ST",18
"0x607F4C5BB672230e8672085532f7e901544a7375","iEx.ec Network Token","RLC",9
"0x888666CA69E0f178DED6D75b5726Cee99A87D698","ICONOMI","ICN",18
"0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2","Maker","MKR",18
"0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359","Dai Stablecoin v1.0","DAI",18
"0x0D8775F648430679A709E98d2b0Cb6250d2887EF","Basic Attention Token","BAT",18
"0x6810e776880C02933D47DB1b9fc05908e5386b96","Gnosis Token","GNO",18
"0xD8912C10681D8B21Fd3742244f44658dBA12264E","Pluton","PLU",18
"0xE94327D07Fc17907b4DB788E5aDf2ed424adDff6","Reputation","REP",18
"0xe41d2489571d322189246dafa5ebde1f4699f498","0x Protocol Token","ZRX",18
"0xe94327d07fc17907b4db788e5adf2ed424addff6","Augur Reputation Token","REP",18
"0xe0b7927c4af23765cb51314a0e0521a9645f0e2a","Digix DAO Token","DGD",9
"0xfa05a73ffe78ef8f1a739473e462c54bae6567d9","Lunyr","LUN",18
"0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1","Melon Token","MLN",18
"0x9a642d6b3368ddc662ca244badf32cda716005bc","Qtum","QTUM",18
"0xd26114cd6ee289accf82350c8d8487fedb8a0c07","OmiseGO","OMG",18
"0xb97048628db6b661d4c2aa833e95dbe1a905b280","TenXPay","PAY",18
"0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0","Eos","EOS",18
"0x888666ca69e0f178ded6d75b5726cee99a87d698","Iconomi","ICN",18
"0x744d70fdbe2ba4cf95131626614a1763df805b9e","StatusNetwork","SNT",18
"0x6810e776880c02933d47db1b9fc05908e5386b96","Gnosis","GNO",18
"0x0d8775f648430679a709e98d2b0cb6250d2887ef","Basic Attention Token","BAT",18
"0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac","Storj","STORJ",8
"0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c","Bancor","BNT",18
"0x960b236a07cf122663c4303350609a66a7b288c0","Aragon","ANT",18
"0x0abdace70d3790235af448c88547603b945604ea","district0x","DNT",18
"0x419d0d8bdd9af5e606ae2232ed285aff190e711b","FunFair","FUN",8
"0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7","FirstBlood","1ST",18
"0x5af2be193a6abca9c8817001f45744777db30756","Bitquence","BQX",8
"0x607f4c5bb672230e8672085532f7e901544a7375","iExec","RLC",9
"0x667088b212ce3d06a1b553a7221e1fd19000d9af","Wings","WINGS",18
"0x41e5560054824ea6b0732e656e3ad64e20e94e45","Civic","CVC",8
"0xb63b606ac810a52cca15e44bb630fd42d8d1d83d","Monaco","MCO",8
"0xf433089366899d83a9f26a773d59ec7ecf30355e","Metal","MTL",8
"0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e","Cofoundit","CFI",18
"0xaaaf91d9b90df800df4f55c205fd6989c977e73a","Monolith TKN","TKN",8
"0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c","Token-as-a-Service","TAAS",6
"0x2e071d2966aa7d8decb1005885ba1977d6038a65","DICE","ROL",16
"0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b","Trustcoin","TRST",6
"0x1776e1f26f98b1a5df9cd347953a26dd3cb46671","Numeraire","NMR",18
"0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098","Santiment Network Token","SAN",18
"0xdd974d5c2e2928dea5f71b9825b8b646686bd200","Kyber Network Crystal","KNC",18
"0x01afc37f4f85babc47c0e2d0eababc7fb49793c8","Wrapped Golem Network Token","WGNT",18
"0xd0d6d6c5fe4a677d343cc433536bb717bae167dd","adToken","ADT",9
"0xab16e0d25c06cb376259cc18c1de4aca57605589","FinallyUsableCryptoKarma","FUCK",4
"0x701c244b988a513c945973defa05de933b23fe1d","openANX","OAX",18
"0x514910771af9ca656af840dff83e8264ecf986ca","ChainLink","LINK",18
"0x8f8221afbb33998d8584a2b05749ba73c37a938a","Request Network","REQ",18
"0x27054b13b1b798b345b591a4d22e6562d47ea75a","AirSwap","AST",4
"0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4","Enigma","ENG",8
"0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5","Kin","KIN",18
"0x27dce1ec4d3f72c3e457cc50354f1f975ddef488","AirToken","AIR",8
"0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a","Substratum","SUB",2
"0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74","Walton","WTC",18
"0x4156d3342d5c385a87d264f90653733592000581","Salt","SALT",8
"0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a","Populous Platform","PPT",8
"0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195","Po.et","POE",8
"0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06","Patientory","PTOY",8
"0x0f5d2fb29fb7d3cfee444a200298f468908cc942","Decentraland MANA","MANA",18
"0xea38eaa3c86c8f9b751533ba2e562deb9acded40","Fuel Token","FUEL",18
"0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6","Ripio Credit Network Token","RCN",18
"0x2fd41f516fac94ed08e156f489f56ca3a80b04d0","eBTC","EBTC",8
"0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d","Quantstamp Token","QSP",18
"0x56ba2ee7890461f463f7be02aac3099f6d5811a8","BlockCAT Token","CAT",18
"0x24692791bc444c5cd0b81e3cbcaba4b04acd1f3b","UnikoinGold","UKG",18
"0xea1f346faf023f974eb5adaf088bbcdf02d761f4","Blocktix Token","TIX",18
"0xd2d6158683aee4cc838067727209a0aaf4359de3","Bounty0x Token","BNTY",18
"0x672a1ad4f667fb18a333af13667aa0af1f5b5bdd","Verify Token","CRED",18
"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Dai Stablecoin v1.0","DAI",18
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH",18
"0xf7b098298f7c69fc14610bf71d5e02c60792894c","Guppy","GUP",3
"0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6","Raiden Token","RDN",18
"0x42d6622dece394b54999fbd73d108123806f6a18","SpankChain","SPANK",18
"0xc27a2f05fa577a83ba0fdb4c38443c0718356501","Lamden Tau","TAU",18
"0x107c4504cd79c5d2696ea0030a8dd4e92601b82e","Bloom Token","BLT",18
"0xb45a50545beeab73f38f31e5973768c421805e5e","Trackr","TKR",18
"0x0af44e2784637218dd1d32a322d44e603a8f0c6a","Matryx Token","MTX",18
"0x3d1ba9be9f66b8ee101911bc36d3fb562eac2244","Rivet","RVT",18
"0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466","AION","AION",8
"0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433","STORM","STORM",18
"0x340d2bde5eb28c1eed91b2f790723e3b160613b7","BLOCKv Token","VEE",18
"0x9af839687f6c94542ac5ece2e317daae355493a1","Hydro Protocol Token","HOT",18
"0x595832f8fc6bf59c85c527fec3740a1b7a361269","PowerLedger","POWR",6
"0x39bb259f66e1c59d5abef88375979b4d20d98022","Wax Token","WAX",8
"0xffe8196bc259e8dedc544d935786aa4709ec3e64","Hedge Token","HDG",18
"0x52a7cb918c11a16958be40cba7e31e32a499a465","fidentiaX","FDX",18
"0x0cf0ee63788a0849fe5297f3407f701e122cc023","Steamr DATAcoin","DATA",18
"0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d","Aeternity","AE",18
"0xe2e6d4be086c6938b53b22144855eef674281639","Link Platform","LNK",18
"0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd","GRID Token","GRID",12
"0xfec0cf7fe078a500abf15f1284958f22049c2c7e","Maecenas ART Token","ART",18
"0xbf2179859fc6d5bee9bf9158632dc51678a4100e","ELF Token","ELF",18
"0x80fb784b7ed66730e8b1dbd9820afd29931aab03","EthLend Token","LEND",18
"0xc438b4c0dfbb1593be6dee03bbd1a84bb3aa6213","Ethereum Qchain Token","EQC",8
"0xf6b55acbbc49f4524aa48d19281a9a77c54de10f","WOLK Token","WLK",18
"0xac3211a5025414af2866ff09c23fc18bc97e79b1","DOVU","DOV",18
"0x168296bb09e24a88805cb9c33356536b980d3fc5","RChain","RHOC",8
"0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2","MakerDAO","MKR",18
"0xb5a5f22694352c15b00323844ad545abb2b11028","ICON","ICX",18
"0xeb2da9fac54284cea731d1f10bb34eecb3c00c14","POW Token","POW",18
"0xba5f11b16b155792cf3b2e6880e8706859a8aeb6","Aeron","ARN",8
"0xd0929d411954c47438dc1d871dd6081F5C5e149c","Refereum","RFR",4
"0x408e41876cCCDC0F92210600ef50372656052a38","Republic Protocol","REN",18
"0xa74476443119A942dE498590Fe1f2454d7D4aC0d","Golem Network Token","GNT",18
"0x6888a16eA9792c15A4DCF2f6C623D055c8eDe792","Spectiv Signal Token","SIG",18
"0x617b3f8050a0BD94b6b1da02B4384eE5B4DF13F4","MetaMark","META",18
"0x9a642d6b3368ddc662CA244bAdf32cDA716005BC","Qtum","QTUM",18
"0x1234567461d3f8Db7496581774Bd869C83D51c93","BitClave","CAT",18
"0x7d4b8Cce0591C9044a22ee543533b72E976E36C3","Change Coin","CAG",18
"0x1d462414fe14cf489c7A21CaC78509f4bF8CD7c0","CanYaCoin","CAN",6
"0x3d1BA9be9f66B8ee101911bC36D3fB562eaC2244","Rivetz","RVT",18
"0x13f11C9905A08ca76e3e853bE63D4f0944326C72","Divi Exchange Token","DIVX",18
"0x056017c55aE7AE32d12AeF7C679dF83A85ca75Ff","WyvernToken","WYV",18
"0xfec0cF7fE078a500abf15F1284958F22049c2C7e","Maecenas ART Token","ART",18
"0x05f4a42e251f2d52b8ed15E9FEdAacFcEF1FAD27","Zilliqa","ZIL",12
"0x957c30aB0426e0C93CD8241E2c60392d08c6aC8e","Modum Token","MOD",0
"0x06012c8cf97BEaD5deAe237070F9587f8E7A266d","Crypto Kitties","CK",0
"0xCed1A8529125D1bD06B54a7B01210df357D00885","Too Real Badge","TRL",0
"0x08d32b0da63e2C3bcF8019c9c5d849d7a9d791e6","Dentacoin","DCN",0
"0xD0b3462481C33F63a288cd1923e2A261EE65b4FF","EGO Badge","EGO",0
"0x5c543e7AE0A1104f78406C340E9C64FD9fCE5170","vSlice","vSlice",0
"0xFf3519eeeEA3e76F1F699CCcE5E23ee0bdDa41aC","Blockchain Capital","BCAP",0
"0x08711D3B02C8758F2FB3ab4e80228418a7F8e39c","Edgeless","EDG",0
"0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009","SingularDTV","SNGLS",0
"0xE0B7927c4aF23765Cb51314A0E0521A9645F0E2A","Digix","DGD",0
